chromosome	Start	End	strand	Blood	GENE ID
1	233448626	233448781	-	0	RNU4-77P
1	233288868	233289447	-	4.700980088	RPS7P3
1	232950605	232983882	+	143.3215679	NTPCR
1	232917235	232918018	+	0	AL122003.1
1	232832017	232832187	-	0	RNU1-74P
1	232804892	232808407	+	15.19045331	MAP10
1	232700204	232700308	+	0	RNU6-1211P
1	232397965	232561558	-	3632.731487	SIPA1L2
1	232222866	232223145	+	0	RN7SL299P
1	232221938	232222174	-	0	BX323014.1
1	231925834	231945233	+	1.849429722	DISC1-IT1
1	231670635	231670750	+	0	RNU5A-5P
1	231626815	232041272	+	341.5719738	DISC1
1	231591292	231612090	-	1.282383242	LINC00582
1	231528653	231566524	+	498.529243	TSNAX
1	231528653	231819244	+	0.587329049	TSNAX-DISC1
1	231475956	231476288	-	0	SNRPD2P2
1	231363751	231425044	-	7470.358795	EGLN1
1	231337104	231355023	+	379.361145	SPRTN
1	231332753	231337852	-	1600.124275	EXOC8
1	231281414	231281524	-	0	RNA5SP80
1	231241207	231277973	+	597.5140018	GNPAT
1	231223763	231241187	-	185.019669	C1orf131
1	231162112	231221556	+	2.170257457	TRIM67
1	231019828	231019924	-	0	MIR1182
1	231018958	231040246	-	3.698859443	FAM89A
1	230978981	231000595	+	44.2718426	ARV1
1	230906243	230978875	-	673.8387046	TTC13
1	230894141	230894427	+	0	RN7SL837P
1	230837119	230869589	-	14.78353189	C1orf198
1	230820250	230820358	+	0	RNA5SP79
1	230747384	230802003	+	0	CAPN9
1	230702523	230714297	-	0	AGT
1	230642489	230693982	+	186.2285423	COG2
1	230314482	230426371	-	0	PGBD5
1	230057990	230282124	+	732.5159388	GALNT2
1	229705234	229705861	-	0	HMGB1P26
1	229626234	229660199	+	54.91581566	URB2
1	229593111	229626047	-	279.0921493	TAF5L
1	229570532	229570796	+	0	HMGN2P19
1	229549905	229550022	+	1.44115941	RNA5SP78
1	229535064	229535189	-	0	RNU4-21P
1	229516582	229558695	-	200.2537621	ABCB10
1	229440260	229508341	-	378.9805396	NUP133
1	229431245	229434098	-	2.578527768	ACTA1
1	229410500	229410767	-	0	RN7SKP276
1	229383128	229383188	+	0	RNU6-180P
1	229321005	229343294	-	844.6458784	CCSAP
1	229304857	229305504	+	0	SPHAR
1	229271062	229305894	+	155.7460597	RAB4A
1	229249636	229251810	+	0	TMEM78
1	229042171	229042591	+	0	ISCA1P2
1	228735077	228746669	+	117.5436778	RHOU
1	228687415	228687826	+	61.19135071	FTH1P2
1	228650241	228651379	+	0	DUSP5P1
1	228647912	228648032	-	0	RNA5SP18
1	228646040	228646158	-	0	RNA5S17
1	228643809	228643927	-	0	RNA5S16
1	228641568	228641686	-	0	RNA5S15
1	228639337	228639455	-	0	RNA5S14
1	228637096	228637214	-	0	RNA5S13
1	228634871	228634989	-	0	RNA5S12
1	228632631	228632749	-	0	RNA5S11
1	228630390	228630508	-	0	RNA5S10
1	228628148	228628266	-	0	RNA5S9
1	228625909	228626027	-	0	RNA5S8
1	228623667	228623785	-	0	RNA5S7
1	228621447	228621565	-	0	RNA5S6
1	228619232	228619350	-	0	RNA5S5
1	228616991	228617109	-	0	RNA5S4
1	228614750	228614868	-	0	RNA5S3
1	228612509	228612627	-	0	RNA5S2
1	228610268	228610386	-	0	RNA5S1
1	228558296	228558339	-	0	RNA5SP162
1	228555793	228555901	+	0	RNA5SP19
1	228510425	228512305	-	0.42855288	BTNL10
1	228487061	228495766	+	484.8425449	RNF187
1	228486188	228487120	-	0	AL139288.1
1	228464103	228464626	-	0	HIST3H2BA
1	228462074	228462152	+	0	MIR4666A
1	228458107	228460470	+	2.170257457	HIST3H2BB
1	228456979	228457873	-	5.336114274	HIST3H2A
1	228449163	228449621	-	0	RPL23AP15
1	228424845	228425325	-	0.42855288	HIST3H3
1	228407940	228416861	-	15.11170024	TRIM17
1	228397048	228397109	-	0	MIR6742
1	228393673	228406840	-	887.7455646	TRIM11
1	228208130	228378874	+	751.477559	OBSCN
1	228165815	228182257	+	82.53383435	IBA57
1	228149852	228159826	+	5.498136328	GJC2
1	228139962	228148984	+	3132.062933	GUK1
1	228114997	228115473	-	0	FAM96AP2
1	228106679	228109312	-	275.8204852	MRPL55
1	228100726	228105411	-	126.8250372	C1orf35
1	228097263	228097341	+	0	MIR3620
1	228082660	228099212	+	12842.33953	ARF1
1	228007051	228061260	+	0	WNT3A
1	227980051	227980227	+	0	SEPT14P17
1	227975390	227978193	-	0	CICP26
1	227941590	227941683	-	0	MIR5008
1	227918656	227947898	-	2.564766484	WNT9A
1	227815693	227846470	+	0	PRSS38
1	227743831	227747191	-	0	SNAP47-AS1
1	227730425	227735411	-	19.24557483	JMJD4
1	227728539	227781231	+	127.8388377	SNAP47
1	227696892	227706699	-	0	ZNF847P
1	227598424	227599094	-	0	AL592310.1
1	227563543	227677443	+	30.43375723	ZNF678
1	227561181	227561300	+	0	RNA5SP77
1	227506182	227508292	+	0	TUBB8P9
1	227493029	227495142	-	0	TUBB8P10
1	227434064	227434346	+	0	BTF3P9
1	226989865	227318474	-	8.501971091	CDC42BPA
1	226870184	226896105	+	72.11700609	PSEN2
1	226781501	226781744	+	0	RPS27P5
1	226668897	226676345	+	1.015881929	ITPKB-AS1
1	226656640	226675067	-	179.3492042	ITPKB-IT1
1	226631690	226739323	-	4188.453891	ITPKB
1	226493188	226493489	-	0	CDKN2AIPNLP1
1	226445937	226446292	+	0	RN7SKP165
1	226360691	226408079	-	607.6117644	PARP1
1	226318015	226318693	-	0	YBX1P9
1	226231149	226309869	-	20.169799	LIN9
1	226223618	226227054	+	0	MIXL1
1	226144679	226186730	-	523.7046533	ACBD3
1	226061851	226072001	+	27345.08718	H3F3A
1	225982702	225999331	-	922.5044515	SDE2
1	225964179	225964428	+	0	NDUFA3P3
1	225936598	225941489	-	0	LEFTY2
1	225922080	225922142	-	0	MIR6741
1	225919877	225924340	-	427.3729002	PYCR2
1	225886282	225911382	-	0.42855288	LEFTY1
1	225845536	225882369	-	4177.137133	TMEM63A
1	225810092	225845563	+	398.2228606	EPHX1
1	225777813	225790466	+	476.9586546	SRP9
1	225741275	225741380	+	0	RNU6-1304P
1	225486835	225653142	-	1.015881929	ENAH
1	225401502	225428925	-	8981.806675	LBR
1	224896262	225399292	+	63.98321845	DNAH14
1	224717504	224730662	-	0	AL596330.1
1	224574434	224575389	+	0	AKR1B1P1
1	224434660	224740549	+	42.31864698	CNIH3
1	224398227	224398311	-	0	MIR4742
1	224385143	224437033	-	11494.31079	WDR26
1	224356850	224379459	+	437.1776803	CNIH4
1	224305380	224305483	+	0	RNU6-1008P
1	224257004	224257141	-	0	MIR320B2
1	224227334	224330387	-	127.2000491	NVL
1	224175756	224193441	+	1418.220376	DEGS1
1	224114087	224162047	+	453.8125684	FBXO28
1	224107282	224107541	-	0	RN7SKP49
1	223976146	223976249	-	0	RNU6-1319P
1	223951394	223992594	-	31.29853627	GTF2IP20
1	223947605	223950416	+	0	CICP5
1	223863726	223864851	-	1.872987689	ACTBP11
1	223856579	223857387	-	0	PHBP11
1	223779899	223845972	-	1075.356417	TP53BP2
1	223701593	223776018	+	1274.137824	CAPN2
1	223690051	223690114	+	0	RNU6-1248P
1	223644110	223644383	-	0	SNRPEP10
1	223538007	223665734	-	10.26395824	CAPN8
1	223393417	223395470	+	0	CCDC185
1	223373822	223373956	+	0	RNU4-57P
1	223220819	223364202	-	26.53097379	SUSD4
1	223109406	223143282	-	531.553959	TLR5
1	222945725	222945900	+	0	NDUFB1P2
1	222872271	223005995	+	20.10268059	DISP1
1	222737207	222750805	+	27.21774758	FAM177B
1	222712553	222735196	+	1279.51384	BROX
1	222668013	222713210	-	261.3643262	AIDA
1	222618086	222668012	+	2556.262777	MIA3
1	222589825	222593032	+	1.174658097	TAF1A-AS1
1	222557902	222589933	-	37.76107023	TAF1A
1	222522258	222548103	-	1.285658641	HHIPL2
1	222503632	222503735	-	0	RNU6-791P
1	222468094	222470882	+	0	CICP13
1	222261833	222262796	-	0	QRSL1P2
1	221837334	221837437	-	0	RNU6-403P
1	221701424	221742176	-	43.19233633	DUSP10
1	221330080	221336296	-	0	C1orf140
1	220879400	220885059	+	2041.997349	HLX
1	220832763	220880140	-	1.015881929	HLX-AS1
1	220829255	220832429	+	4.272427207	LINC01352
1	220825620	220826063	+	2.170257457	RNU6ATAC35P
1	220689845	220699157	+	6.939295738	C1orf115
1	220625740	220628056	+	0	HDAC1P2
1	220571739	220572035	-	0	RN7SL464P
1	220528183	220664461	+	0	MARK1
1	220313945	220315565	-	0	XRCC6P3
1	220253570	220254536	+	169.8210552	MORF4L1P1
1	220200546	220200676	-	0	SNORA36B
1	220200538	220200619	-	0	MIR664A
1	220148293	220272454	-	1047.717008	RAB3GAP2
1	220143964	220144351	-	1.849429722	RPS15AP12
1	220118157	220118241	-	0	MIR194-1
1	220117853	220117962	-	0	MIR215
1	220094102	220148041	+	538.1303529	IARS2
1	220057482	220090462	-	90.02630793	BPNT1
1	219968601	220046658	-	450.9773141	EPRS
1	219761789	219761875	+	0	RNA5SP76
1	219685427	219958647	-	0	SLC30A10
1	219609627	219612062	-	0	ZC3H11B
1	219199914	219200567	-	52.31121935	RIMKLBP2
1	219173844	219212865	+	195.8928295	LYPLAL1
1	218881600	218882650	-	0	NXNP1
1	218510096	218525978	+	0	C1orf143
1	218442626	218443996	+	0	TGFB2-OT1
1	218346235	218444619	+	0	TGFB2
1	218344196	218345678	-	0	TGFB2-AS1
1	218285287	218337983	+	44.67306769	RRP15
1	218129795	218129952	+	0	RNU1-141P
1	217892900	217920804	+	0	LINC00210
1	217850403	217850633	-	0	UBBP2
1	217781198	217785120	-	0	SPATA17-AS1
1	217631324	217871696	+	0	SPATA17
1	217426992	217631082	-	39.83362351	GPATCH2
1	216503246	217137755	-	0	ESRRG
1	216201635	216201826	-	0	MRPS18BP1
1	215622894	216423396	-	0	USH2A
1	215567392	215621807	+	21.34445709	KCTD3
1	215376484	215377374	+	0	VDAC1P10
1	215005775	215237093	+	0	KCNK2
1	214870734	214871716	+	0	GAPDHP24
1	214605470	214608840	-	0	ABHD17AP3
1	214603195	214664588	+	30.44470591	CENPF
1	214532195	214533467	+	0	KRT18P12
1	214348696	214552449	-	2.281258001	PTPN14
1	214281102	214337131	+	175.9890107	SMYD2
1	213983181	214041502	+	0	PROX1
1	213924749	213926654	-	0	LINC00538
1	213817751	213988508	-	0	PROX1-AS1
1	213428708	213429077	-	0	RPL31P13
1	213051233	213274773	+	314.7467385	RPS6KC1
1	212992182	213015826	-	529.4872365	ANGEL2
1	212950520	212992037	+	2.281258001	VASH2
1	212858255	212899363	+	371.1748258	FLVCR1
1	212830141	212847649	-	3.698859443	SPATA45
1	212791828	212816626	+	724.5732592	TATDN3
1	212726153	212791782	-	598.4969871	NSL1
1	212686418	212699985	-	21.22251996	BATF3
1	212624474	212626778	+	0	FAM71A
1	212565334	212620777	+	25.39704822	ATF3
1	212432887	212446379	+	38.55448616	NENF
1	212363931	212414901	-	68.025269	TMEM206
1	212357418	212358353	+	0.42855288	AL360091.1
1	212352816	212352950	+	11.44447793	SNORA16B
1	212309051	212309518	-	1.582928408	RPL23AP18
1	212285537	212361863	+	3749.15402	PPP2R5A
1	212099521	212099676	-	0	RN7SKP98
1	212077613	212077685	+	0	MIR3122
1	212051524	212052006	-	4.492080595	RPL21P28
1	212035553	212107400	+	1.285658641	DTL
1	211940399	212035542	-	68.86599777	INTS7
1	211792111	211792406	-	1.710936122	RN7SL344P
1	211743457	211830772	-	7659.578157	LPGAT1
1	211660189	211661277	-	0	FDPSP8
1	211658657	211675630	-	4.063527715	NEK2
1	211635906	211642867	-	0	AL356310.1
1	211571568	211578742	-	210.6036838	SLC30A1
1	211476522	211492917	-	1.42415224	RD3
1	211442274	211442806	+	0	ARPC3P2
1	211417025	211417934	+	0	SNX25P1
1	211382803	211435333	+	32.21459921	LINC00467
1	211326615	211374946	+	325.499631	TRAF5
1	211258377	211316385	+	1572.071312	RCOR3
1	211132588	211133374	-	0	KCNH1-IT1
1	210859177	210862285	-	0	IPO8P1
1	210265636	210267241	-	0	ST13P19
1	210232799	210246631	+	0	SERTAD4
1	209938174	210171389	+	0	SYT14
1	209785623	209806175	-	15.42101377	IRF6
1	209779208	209784559	-	34.80513153	C1orf74
1	209756032	209782320	+	3956.123157	TRAF3IP3
1	209744373	209745214	+	0	ADORA2BP1
1	209686178	209734950	+	2.028488459	HSD11B1
1	209675420	209676388	+	8945.068815	G0S2
1	209623444	209623510	-	0	MIR4260
1	209614870	209652466	-	30.02548692	LAMB3
1	209583717	209613938	+	0	CAMK1G
1	209432133	209432242	+	0	MIR205
1	209428820	209432838	+	0	MIR205HG
1	208697369	208697698	-	0	RPS26P13
1	208022242	208244320	-	801.4581894	PLXNA2
1	207880972	207911402	-	1.582928408	CD34
1	207802443	207802523	-	0	MIR29B2
1	207801852	207801939	-	0	MIR29C
1	207762584	207763263	+	12.02594538	CDCA4P4
1	207752057	207795513	+	24376.17861	CD46
1	207658454	207659142	+	0	CDCA4P3
1	207645234	207657410	+	0.853830362	CD46P1
1	207645113	207738416	+	23.82267919	CR1L
1	207496147	207641765	+	14167.17316	CR1
1	207454230	207489895	+	38.1191877	CR2
1	207321376	207386804	+	7868.554348	CD55
1	207225798	207229202	+	0	C4BPAP2
1	207165496	207183910	+	0	C4BPAP1
1	207104262	207144972	+	90.72219466	C4BPA
1	207088842	207099993	+	2.031763857	C4BPB
1	207043849	207052980	-	533.5234041	YOD1
1	207034366	207081024	+	1385.41988	PFKFB2
1	207018521	207032756	-	9.089300139	C1orf116
1	206957965	206970625	-	0	FCAMR
1	206928518	206946466	-	1.44115941	PIGR
1	206904386	206923247	-	1780.839506	FCMR
1	206897443	206904139	+	189.0832205	IL24
1	206865354	206869223	+	0	IL20
1	206798870	206842981	+	0	IL19
1	206767602	206772494	-	0	IL10
1	206684944	206734283	+	5684.49923	MAPKAPK2
1	206635536	206684419	+	5.923443322	DYRK3
1	206571292	206612463	-	536.6103883	EIF2D
1	206507530	206589448	+	19865.41666	RASSF5
1	206491116	206497728	-	14.65366877	C1orf147
1	206474803	206474864	+	0	MIR6769B
1	206470476	206496889	+	238.8183739	IKBKE
1	206203345	206464443	+	1645.016151	SRGAP2
1	206186179	206204414	-	6.618468003	FAM72A
1	206109692	206117699	-	0	AVPR1B
1	206035253	206062257	+	0	BX571818.1
1	206009264	206023909	-	0	CTSE
1	205976740	206003461	-	0	RAB7B
1	205913048	205943460	-	0	SLC26A9
1	205828022	205850132	-	2.703260083	PM20D1
1	205789093	205813748	-	149.3785005	SLC41A1
1	205767986	205775460	-	792.8261956	RAB29
1	205712819	205750276	-	383.3925956	NUCKS1
1	205657851	205680459	-	193.6198284	SLC45A3
1	205597556	205631962	-	596.7279137	ELK4
1	205595041	205595147	+	1.285658641	RNU6-418P
1	205566716	205566799	+	0	RNU2-19P
1	205504595	205532793	+	11.3967023	CDK18
1	205448302	205448398	-	0	MIR135B
1	205434886	205437879	-	0.85710576	BLACAT1
1	205381378	205457091	-	0	LEMD1
1	205373252	205387440	+	1.44115941	LEMD1-AS1
1	205351247	205351471	+	15.36573014	SNRPGP10
1	205336065	205357090	-	2.136213604	KLHDC8A
1	205302059	205321791	-	6138.957374	NUAK2
1	205228176	205285632	+	33.25531928	TMCC2
1	205142505	205211566	-	797.9206186	DSTYK
1	205091163	205091946	+	0	AL583832.1
1	205086142	205122015	-	955.185366	RBBP5
1	205083129	205084460	-	91.36266946	TMEM81
1	205042937	205078284	+	0.853830362	CNTN2
1	204828651	205022822	+	9.247148608	NFASC
1	204707320	204707430	-	0	RNA5SP75
1	204617170	204685733	-	671.1017283	LRRN2
1	204562413	204562521	-	0.42855288	RNA5SP74
1	204516379	204558120	+	2766.864295	MDM4
1	204422628	204494724	-	189.4988783	PIK3C2B
1	204403387	204411791	-	5634.094043	PPP1R15B
1	204368431	204369719	-	0	LINC00628
1	204218851	204377665	-	16.95378934	PLEKHA6
1	204198160	204214092	-	0.42855288	GOLT1A
1	204190341	204196486	-	0	KISS1
1	204154819	204190324	-	0	REN
1	204131062	204152003	-	3.698859443	ETNK2
1	204073115	204127743	+	133.0313293	SOX13
1	204032447	204041265	-	0	LINC00303
1	203954640	203955780	+	0	CBX1P3
1	203903723	203904013	-	0	HSPE1P6
1	203872574	203874187	-	0.42855288	KRT8P29
1	203861603	203870550	+	143.8269949	SNRPE
1	203795714	203854999	+	380.4254892	ZBED6
1	203795654	203854999	+	7572.917333	ZC3H11A
1	203765176	203776233	+	127.6010017	LAX1
1	203729581	203729705	+	0	SNORA77
1	203626561	203744081	+	4569.853503	ATP2B4
1	203494143	203508864	+	0	OPTC
1	203475828	203491352	+	0	PRELP
1	203400266	203400581	-	0	LARP7P1
1	203340628	203351758	-	0	FMOD
1	203318996	203319099	-	0	RNU6-487P
1	203305491	203309602	+	37895.63369	BTG2
1	203298758	203305309	-	116.9618941	LINC01136
1	203287152	203288801	+	82.9375831	LINC01353
1	203255743	203256475	+	0	NPM1P40
1	203212827	203273641	-	227.3638177	CHIT1
1	203178931	203186749	-	27181.28488	CHI3L1
1	203167811	203175813	-	428.6572538	MYBPH
1	203090654	203167405	+	5.1069027	ADORA1
1	203083132	203086036	-	1.174658097	MYOG
1	203026498	203078740	+	101.4649243	PPFIA4
1	203007386	203024848	+	1174.565022	TMEM183A
1	202961869	202967280	-	786.4393714	CYB5R1
1	202940823	202958572	-	8593.774653	ADIPOR1
1	202911812	202912729	+	23.09927535	HNRNPA1P59
1	202891100	202928636	-	1121.605025	KLHL12
1	202878957	202889135	-	528.2409209	RABIF
1	202820266	202827225	+	0	MGAT4EP
1	202810954	202812156	+	1.872987689	PCAT6
1	202796030	202797094	+	0.42855288	SLC25A39P1
1	202724495	202809470	-	2267.98411	KDM5B
1	202590596	202710417	-	284.9696164	SYT2
1	202410108	202410207	-	0	RNU6-89P
1	202369526	202370145	-	0	CYCSP4
1	202348699	202592706	+	6629.106574	PPP1R12B
1	202331657	202341980	-	2.88231882	UBE2T
1	202193901	202319781	+	34.14034898	LGR6
1	202168051	202189455	+	17.11263662	PTPRVP
1	202147013	202161588	-	1310.628159	PTPN7
1	202133404	202144743	-	1796.03452	ARL8A
1	202122858	202133592	+	8.093700779	GPR37L1
1	202096759	202096978	+	0	CRIP1P3
1	202007945	202017188	+	92.70514137	ELF3
1	202003124	202003236	+	2.028488459	MIR6740
1	201982372	202006147	+	1856.501477	RNPEP
1	201955491	201970661	+	204.026676	TIMM17A
1	201896452	201946588	-	2.349316194	LMOD1
1	201888680	201892306	+	36.12798898	SHISA4
1	201863373	201863447	+	1.015881929	MIR6739
1	201829141	201884294	+	443.1671537	IPO9
