chromosome	Start	End	strand	LTB4	GENE ID
1	240170155	240171291	+	0	ADH5P3
1	240014348	240475189	+	0	FMN2
1	240012646	240013226	+	0	RPS7P5
1	239898016	239899872	-	0	CHRM3-AS1
1	239703381	239730465	-	149.8749374	CHRM3-AS2
1	239386565	239915452	+	0	CHRM3
1	238777049	238779200	-	0	MIPEPP2
1	238491358	238492644	+	0	KRT18P32
1	238476542	238486054	-	0	LINC01139
1	238325687	238325788	-	0	RNU6-725P
1	238107736	238108567	-	0	YWHAQP9
1	237949736	237951536	-	0	MTND5P18
1	237949214	237949734	+	0	MTND6P15
1	237943724	237945275	-	0	MTRNR2L11
1	237877864	237890922	-	0	ZP4
1	237471119	237471191	+	0	MIR4428
1	237120807	237121109	+	0	RN7SKP195
1	237042205	237833988	+	1.694389405	RYR2
1	237004103	237004418	-	0	MT1HL1
1	236981339	236981708	+	0	RPL35P1
1	236795281	236903981	+	366.8353061	MTR
1	236686454	236764631	+	4.146675476	ACTN2
1	236549005	236604504	-	288.0461988	HEATR1
1	236523052	236524508	-	1.65867019	LGALS8-AS1
1	236518000	236552981	+	1446.893332	LGALS8
1	236483165	236484468	+	0	ENO1P1
1	236348257	236502915	+	1.694389405	EDARADD
1	236267780	236267958	+	0	RNU2-70P
1	236215555	236281985	-	323.8098963	ERO1B
1	236142505	236221865	+	195.193816	GPR137B
1	235975830	236065162	-	24.77058072	NID1
1	235915415	235915521	+	0	RNU6-968P
1	235853000	235853060	-	0	MIR1537
1	235839483	235840182	+	1.513130356	LYST-AS1
1	235738005	235738989	+	2.914185967	LDHAP2
1	235661041	235883640	-	3102.624296	LYST
1	235547687	235650754	-	5.805345666	GNG4
1	235541759	235542097	-	0	MTND3P8
1	235540053	235541415	-	0	MTND4P10
1	235538052	235539845	-	0	MTND5P19
1	235537520	235538041	+	0	MTND6P14
1	235449923	235504481	-	112.9389338	B3GALNT2
1	235432985	235433231	+	0	RPS21P1
1	235367360	235452443	+	165.5017081	TBCE
1	235336806	235337087	+	3.026260713	AL391994.1
1	235327350	235344532	+	408.0328668	GGPS1
1	235295865	235296335	+	0	RPL23AP23
1	235190034	235190116	-	0	MIR4753
1	235131634	235328219	-	4111.435891	ARID4B
1	235131183	235161457	-	9.952021142	RBM34
1	235127803	235127937	-	1.457092983	SNORA14B
1	235109336	235128936	-	1007.314501	TOMM20
1	235065479	235074220	-	30.54323368	LINC01348
1	234904186	234904488	+	0	RN7SL668P
1	234837976	234838069	+	0	RNY4P16
1	234724042	234736720	+	3.317340381	LINC01132
1	234629311	234634780	+	1.65867019	LINC00184
1	234604269	234609525	-	3156.607685	IRF2BP2
1	234527891	234531779	-	14.57092983	LINC01354
1	234391313	234479103	-	147.4118782	TARBP1
1	234373456	234384049	+	46.1700044	COA6
1	234306467	234306539	+	0	MIR4671
1	234026851	234027227	-	0	RAC1P7
1	233904933	234324516	+	0.829335095	SLC35F3
1	233624152	233624219	+	0	MIR4427
1	233614004	233672512	+	105.0521431	KCNK1
1	233448626	233448781	-	0	RNU4-77P
1	233288868	233289447	-	2.84123104	RPS7P3
1	232950605	232983882	+	536.5798066	NTPCR
1	232917235	232918018	+	0	AL122003.1
1	232832017	232832187	-	0	RNU1-74P
1	232804892	232808407	+	19.90404228	MAP10
1	232700204	232700308	+	0	RNU6-1211P
1	232397965	232561558	-	14240.06978	SIPA1L2
1	232222866	232223145	+	0	RN7SL299P
1	232221938	232222174	-	0	BX323014.1
1	231925834	231945233	+	0	DISC1-IT1
1	231670635	231670750	+	0	RNU5A-5P
1	231626815	232041272	+	33.38446472	DISC1
1	231591292	231612090	-	0	LINC00582
1	231528653	231566524	+	411.3502072	TSNAX
1	231528653	231819244	+	0	TSNAX-DISC1
1	231475956	231476288	-	0	SNRPD2P2
1	231363751	231425044	-	858.2082335	EGLN1
1	231337104	231355023	+	335.1313862	SPRTN
1	231332753	231337852	-	1863.828345	EXOC8
1	231281414	231281524	-	0	RNA5SP80
1	231241207	231277973	+	455.4522373	GNPAT
1	231223763	231241187	-	190.7470719	C1orf131
1	231162112	231221556	+	1.694389405	TRIM67
1	231019828	231019924	-	0	MIR1182
1	231018958	231040246	-	5.083168214	FAM89A
1	230978981	231000595	+	60.52521426	ARV1
1	230906243	230978875	-	324.9317353	TTC13
1	230894141	230894427	+	0	RN7SL837P
1	230837119	230869589	-	159.272604	C1orf198
1	230820250	230820358	+	0	RNA5SP79
1	230747384	230802003	+	7.285464917	CAPN9
1	230702523	230714297	-	13.61817321	AGT
1	230642489	230693982	+	232.1313484	COG2
1	230314482	230426371	-	7.285464917	PGBD5
1	230057990	230282124	+	1598.902768	GALNT2
1	229705234	229705861	-	0	HMGB1P26
1	229626234	229660199	+	110.7390667	URB2
1	229593111	229626047	-	302.6260713	TAF5L
1	229570532	229570796	+	0	HMGN2P19
1	229549905	229550022	+	0	RNA5SP78
1	229535064	229535189	-	0	RNU4-21P
1	229516582	229558695	-	114.3595494	ABCB10
1	229440260	229508341	-	444.8603248	NUP133
1	229431245	229434098	-	2.914185967	ACTA1
1	229410500	229410767	-	0	RN7SKP276
1	229383128	229383188	+	0	RNU6-180P
1	229321005	229343294	-	559.5237056	CCSAP
1	229304857	229305504	+	0	SPHAR
1	229271062	229305894	+	144.2522053	RAB4A
1	229249636	229251810	+	0	TMEM78
1	229042171	229042591	+	0	ISCA1P2
1	228735077	228746669	+	100.3495465	RHOU
1	228687415	228687826	+	310.0732611	FTH1P2
1	228650241	228651379	+	3.317340381	DUSP5P1
1	228647912	228648032	-	0.71030776	RNA5SP18
1	228646040	228646158	-	0	RNA5S17
1	228643809	228643927	-	0	RNA5S16
1	228641568	228641686	-	0	RNA5S15
1	228639337	228639455	-	0	RNA5S14
1	228637096	228637214	-	0	RNA5S13
1	228634871	228634989	-	0	RNA5S12
1	228632631	228632749	-	0	RNA5S11
1	228630390	228630508	-	0	RNA5S10
1	228628148	228628266	-	0	RNA5S9
1	228625909	228626027	-	0	RNA5S8
1	228623667	228623785	-	0	RNA5S7
1	228621447	228621565	-	0	RNA5S6
1	228619232	228619350	-	0	RNA5S5
1	228616991	228617109	-	0	RNA5S4
1	228614750	228614868	-	0	RNA5S3
1	228612509	228612627	-	0	RNA5S2
1	228610268	228610386	-	0	RNA5S1
1	228558296	228558339	-	0	RNA5SP162
1	228555793	228555901	+	0	RNA5SP19
1	228510425	228512305	-	0	BTNL10
1	228487061	228495766	+	894.2600406	RNF187
1	228486188	228487120	-	0	AL139288.1
1	228464103	228464626	-	0	HIST3H2BA
1	228462074	228462152	+	0	MIR4666A
1	228458107	228460470	+	0	HIST3H2BB
1	228456979	228457873	-	4.235973512	HIST3H2A
1	228449163	228449621	-	0	RPL23AP15
1	228424845	228425325	-	0	HIST3H3
1	228407940	228416861	-	9.952021142	TRIM17
1	228397048	228397109	-	0	MIR6742
1	228393673	228406840	-	822.626056	TRIM11
1	228208130	228378874	+	199.0907551	OBSCN
1	228165815	228182257	+	144.1924753	IBA57
1	228149852	228159826	+	8.293350951	GJC2
1	228139962	228148984	+	3763.522662	GUK1
1	228114997	228115473	-	1.694389405	FAM96AP2
1	228106679	228109312	-	298.2125352	MRPL55
1	228100726	228105411	-	206.5044387	C1orf35
1	228097263	228097341	+	0	MIR3620
1	228082660	228099212	+	19498.19777	ARF1
1	228007051	228061260	+	0	WNT3A
1	227980051	227980227	+	0	SEPT14P17
1	227975390	227978193	-	0	CICP26
1	227941590	227941683	-	0	MIR5008
1	227918656	227947898	-	8.7425579	WNT9A
1	227815693	227846470	+	0	PRSS38
1	227743831	227747191	-	0	SNAP47-AS1
1	227730425	227735411	-	22.01954056	JMJD4
1	227728539	227781231	+	192.3131974	SNAP47
1	227696892	227706699	-	0	ZNF847P
1	227598424	227599094	-	0	AL592310.1
1	227563543	227677443	+	40.85451962	ZNF678
1	227561181	227561300	+	0	RNA5SP77
1	227506182	227508292	+	0	TUBB8P9
1	227493029	227495142	-	0	TUBB8P10
1	227434064	227434346	+	0	BTF3P9
1	226989865	227318474	-	120.9387176	CDC42BPA
1	226870184	226896105	+	107.4322553	PSEN2
1	226781501	226781744	+	0	RPS27P5
1	226668897	226676345	+	0	ITPKB-AS1
1	226656640	226675067	-	98.35347317	ITPKB-IT1
1	226631690	226739323	-	1862.663469	ITPKB
1	226493188	226493489	-	0	CDKN2AIPNLP1
1	226445937	226446292	+	0	RN7SKP165
1	226360691	226408079	-	795.9065675	PARP1
1	226318015	226318693	-	0	YBX1P9
1	226231149	226309869	-	36.31512855	LIN9
1	226223618	226227054	+	0	MIXL1
1	226144679	226186730	-	747.4863961	ACBD3
1	226061851	226072001	+	16530.28219	H3F3A
1	225982702	225999331	-	1739.543704	SDE2
1	225964179	225964428	+	0	NDUFA3P3
1	225936598	225941489	-	0	LEFTY2
1	225922080	225922142	-	0	MIR6741
1	225919877	225924340	-	415.1254042	PYCR2
1	225886282	225911382	-	0	LEFTY1
1	225845536	225882369	-	1561.637984	TMEM63A
1	225810092	225845563	+	617.3571854	EPHX1
1	225777813	225790466	+	509.9249301	SRP9
1	225741275	225741380	+	0	RNU6-1304P
1	225486835	225653142	-	227.0481802	ENAH
1	225401502	225428925	-	7949.986893	LBR
1	224896262	225399292	+	53.98338976	DNAH14
1	224717504	224730662	-	0	AL596330.1
1	224574434	224575389	+	0	AKR1B1P1
1	224434660	224740549	+	23.44015608	CNIH3
1	224398227	224398311	-	0	MIR4742
1	224385143	224437033	-	7605.266843	WDR26
1	224356850	224379459	+	186.1006331	CNIH4
1	224305380	224305483	+	0	RNU6-1008P
1	224257004	224257141	-	0	MIR320B2
1	224227334	224330387	-	124.0766892	NVL
1	224175756	224193441	+	529.9451258	DEGS1
1	224114087	224162047	+	648.5109849	FBXO28
1	224107282	224107541	-	0	RN7SKP49
1	223976146	223976249	-	0	RNU6-1319P
1	223951394	223992594	-	9.122686047	GTF2IP20
1	223947605	223950416	+	0	CICP5
1	223863726	223864851	-	0.847194702	ACTBP11
1	223856579	223857387	-	0	PHBP11
1	223779899	223845972	-	1363.839032	TP53BP2
1	223701593	223776018	+	3463.331943	CAPN2
1	223690051	223690114	+	0	RNU6-1248P
1	223644110	223644383	-	0	SNRPEP10
1	223538007	223665734	-	450.9128462	CAPN8
1	223393417	223395470	+	0	CCDC185
1	223373822	223373956	+	0	RNU4-57P
1	223220819	223364202	-	6.052521426	SUSD4
1	223109406	223143282	-	52.4553474	TLR5
1	222945725	222945900	+	0	NDUFB1P2
1	222872271	223005995	+	41.51254042	DISP1
1	222737207	222750805	+	10.19965088	FAM177B
1	222712553	222735196	+	2127.461281	BROX
1	222668013	222713210	-	194.8547815	AIDA
1	222618086	222668012	+	1686.98093	MIA3
1	222589825	222593032	+	4.146675476	TAF1A-AS1
1	222557902	222589933	-	34.9702316	TAF1A
1	222522258	222548103	-	20.39930177	HHIPL2
1	222503632	222503735	-	0	RNU6-791P
1	222468094	222470882	+	0	CICP13
1	222261833	222262796	-	0	QRSL1P2
1	221837334	221837437	-	1.694389405	RNU6-403P
1	221701424	221742176	-	529.1157907	DUSP10
1	221330080	221336296	-	0	C1orf140
1	220879400	220885059	+	456.9653676	HLX
1	220832763	220880140	-	0	HLX-AS1
1	220829255	220832429	+	1.457092983	LINC01352
1	220825620	220826063	+	0	RNU6ATAC35P
1	220689845	220699157	+	4.146675476	C1orf115
1	220625740	220628056	+	0	HDAC1P2
1	220571739	220572035	-	0	RN7SL464P
1	220528183	220664461	+	0	MARK1
1	220313945	220315565	-	0	XRCC6P3
1	220253570	220254536	+	186.5079019	MORF4L1P1
1	220200546	220200676	-	0	SNORA36B
1	220200538	220200619	-	0	MIR664A
1	220148293	220272454	-	1167.13148	RAB3GAP2
1	220143964	220144351	-	0	RPS15AP12
1	220118157	220118241	-	0	MIR194-1
1	220117853	220117962	-	0	MIR215
1	220094102	220148041	+	740.2032355	IARS2
1	220057482	220090462	-	96.1681369	BPNT1
1	219968601	220046658	-	930.5751692	EPRS
1	219761789	219761875	+	0	RNA5SP76
1	219685427	219958647	-	0	SLC30A10
1	219609627	219612062	-	1.694389405	ZC3H11B
1	219199914	219200567	-	4.146675476	RIMKLBP2
1	219173844	219212865	+	35.66140909	LYPLAL1
1	218881600	218882650	-	0	NXNP1
1	218510096	218525978	+	0	C1orf143
1	218442626	218443996	+	0	TGFB2-OT1
1	218346235	218444619	+	7.565651782	TGFB2
1	218344196	218345678	-	0	TGFB2-AS1
1	218285287	218337983	+	99.86660352	RRP15
1	218129795	218129952	+	0	RNU1-141P
1	217892900	217920804	+	0	LINC00210
1	217850403	217850633	-	0	UBBP2
1	217781198	217785120	-	0	SPATA17-AS1
1	217631324	217871696	+	6.777557619	SPATA17
1	217426992	217631082	-	74.14338746	GPATCH2
1	216503246	217137755	-	0.829335095	ESRRG
1	216201635	216201826	-	0	MRPS18BP1
1	215622894	216423396	-	0	USH2A
1	215567392	215621807	+	115.1103457	KCTD3
1	215376484	215377374	+	0	VDAC1P10
1	215005775	215237093	+	0	KCNK2
1	214870734	214871716	+	0	GAPDHP24
1	214605470	214608840	-	0	ABHD17AP3
1	214603195	214664588	+	150.0805773	CENPF
1	214532195	214533467	+	0	KRT18P12
1	214348696	214552449	-	158.8786874	PTPN14
1	214281102	214337131	+	167.9574696	SMYD2
1	213983181	214041502	+	0.847194702	PROX1
1	213924749	213926654	-	0	LINC00538
1	213817751	213988508	-	0	PROX1-AS1
1	213428708	213429077	-	0	RPL31P13
1	213051233	213274773	+	284.65742	RPS6KC1
1	212992182	213015826	-	429.8424301	ANGEL2
1	212950520	212992037	+	1.65867019	VASH2
1	212858255	212899363	+	165.202967	FLVCR1
1	212830141	212847649	-	0	SPATA45
1	212791828	212816626	+	181.5756428	TATDN3
1	212726153	212791782	-	170.8430296	NSL1
1	212686418	212699985	-	21.3092328	BATF3
1	212624474	212626778	+	0	FAM71A
1	212565334	212620777	+	274.4910836	ATF3
1	212432887	212446379	+	126.7670895	NENF
1	212363931	212414901	-	65.06460533	TMEM206
1	212357418	212358353	+	0	AL360091.1
1	212352816	212352950	+	0.847194702	SNORA16B
1	212309051	212309518	-	0.71030776	RPL23AP18
1	212285537	212361863	+	939.0268587	PPP2R5A
1	212099521	212099676	-	0	RN7SKP98
1	212077613	212077685	+	0	MIR3122
1	212051524	212052006	-	3.388778809	RPL21P28
1	212035553	212107400	+	19.07470719	DTL
1	211940399	212035542	-	118.0245316	INTS7
1	211792111	211792406	-	0	RN7SL344P
1	211743457	211830772	-	2001.871462	LPGAT1
1	211660189	211661277	-	0	FDPSP8
1	211658657	211675630	-	118.0241678	NEK2
1	211635906	211642867	-	0	AL356310.1
1	211571568	211578742	-	308.5126554	SLC30A1
1	211476522	211492917	-	23.44015608	RD3
1	211442274	211442806	+	0.829335095	ARPC3P2
1	211417025	211417934	+	1.42061552	SNX25P1
1	211382803	211435333	+	51.14215872	LINC00467
1	211326615	211374946	+	134.6686017	TRAF5
1	211258377	211316385	+	942.680212	RCOR3
1	211132588	211133374	-	0	KCNH1-IT1
1	210859177	210862285	-	0	IPO8P1
1	210265636	210267241	-	0	ST13P19
1	210232799	210246631	+	69.60399639	SERTAD4
1	209938174	210171389	+	0	SYT14
1	209785623	209806175	-	211.2784826	IRF6
1	209779208	209784559	-	64.63800616	C1orf74
1	209756032	209782320	+	4595.345762	TRAF3IP3
1	209744373	209745214	+	0.71030776	ADORA2BP1
1	209686178	209734950	+	9.952021142	HSD11B1
1	209675420	209676388	+	5950.767744	G0S2
1	209623444	209623510	-	0	MIR4260
1	209614870	209652466	-	4966.09383	LAMB3
1	209583717	209613938	+	31.51473362	CAMK1G
1	209432133	209432242	+	0	MIR205
1	209428820	209432838	+	0	MIR205HG
1	208697369	208697698	-	0	RPS26P13
1	208022242	208244320	-	1892.763785	PLXNA2
1	207880972	207911402	-	1.457092983	CD34
1	207802443	207802523	-	0	MIR29B2
1	207801852	207801939	-	0	MIR29C
1	207762584	207763263	+	22.01954056	CDCA4P4
1	207752057	207795513	+	6237.212441	CD46
1	207658454	207659142	+	0	CDCA4P3
1	207645234	207657410	+	0	CD46P1
1	207645113	207738416	+	3.317340381	CR1L
1	207496147	207641765	+	1782.16217	CR1
1	207454230	207489895	+	4.97215432	CR2
1	207321376	207386804	+	19842.69225	CD55
1	207225798	207229202	+	0	C4BPAP2
1	207165496	207183910	+	0	C4BPAP1
1	207104262	207144972	+	11.65674387	C4BPA
1	207088842	207099993	+	57.49895354	C4BPB
1	207043849	207052980	-	706.6318764	YOD1
1	207034366	207081024	+	8186.035228	PFKFB2
1	207018521	207032756	-	632.8544427	C1orf116
1	206957965	206970625	-	0	FCAMR
1	206928518	206946466	-	1.42061552	PIGR
1	206904386	206923247	-	989.3967685	FCMR
1	206897443	206904139	+	130.2056099	IL24
1	206865354	206869223	+	0.71030776	IL20
1	206798870	206842981	+	4.146675476	IL19
1	206767602	206772494	-	17.04738624	IL10
1	206684944	206734283	+	10287.48527	MAPKAPK2
1	206635536	206684419	+	11.65674387	DYRK3
1	206571292	206612463	-	390.5009195	EIF2D
1	206507530	206589448	+	22415.91846	RASSF5
1	206491116	206497728	-	5.828371933	C1orf147
1	206474803	206474864	+	0	MIR6769B
1	206470476	206496889	+	258.3943842	IKBKE
1	206203345	206464443	+	6439.882797	SRGAP2
1	206186179	206204414	-	43.12542495	FAM72A
1	206109692	206117699	-	0	AVPR1B
1	206035253	206062257	+	0	BX571818.1
1	206009264	206023909	-	11.65674387	CTSE
1	205976740	206003461	-	12.70792054	RAB7B
1	205913048	205943460	-	11.86072583	SLC26A9
1	205828022	205850132	-	2.914185967	PM20D1
1	205789093	205813748	-	171.8944779	SLC41A1
1	205767986	205775460	-	439.6940505	RAB29
1	205712819	205750276	-	472.3546604	NUCKS1
1	205657851	205680459	-	39.34151055	SLC45A3
1	205597556	205631962	-	390.5009195	ELK4
1	205595041	205595147	+	1.513130356	RNU6-418P
1	205566716	205566799	+	0	RNU2-19P
1	205504595	205532793	+	24.2100857	CDK18
1	205448302	205448398	-	0	MIR135B
1	205434886	205437879	-	3.026260713	BLACAT1
1	205381378	205457091	-	1.457092983	LEMD1
1	205373252	205387440	+	0	LEMD1-AS1
1	205351247	205351471	+	27.23634642	SNRPGP10
1	205336065	205357090	-	0	KLHDC8A
1	205302059	205321791	-	1166.587105	NUAK2
1	205228176	205285632	+	17.416037	TMCC2
1	205142505	205211566	-	542.2046095	DSTYK
1	205091163	205091946	+	0	AL583832.1
1	205086142	205122015	-	1079.705901	RBBP5
1	205083129	205084460	-	71.11712675	TMEM81
1	205042937	205078284	+	1.65867019	CNTN2
1	204828651	205022822	+	27.36805814	NFASC
1	204707320	204707430	-	0	RNA5SP75
1	204617170	204685733	-	814.5149777	LRRN2
1	204562413	204562521	-	2.541584107	RNA5SP74
1	204516379	204558120	+	2267.093024	MDM4
1	204422628	204494724	-	3536.622337	PIK3C2B
1	204403387	204411791	-	7872.980369	PPP1R15B
1	204368431	204369719	-	0	LINC00628
1	204218851	204377665	-	187.2300292	PLEKHA6
1	204198160	204214092	-	26.2276737	GOLT1A
1	204190341	204196486	-	2.488005285	KISS1
1	204154819	204190324	-	1.513130356	REN
1	204131062	204152003	-	49.13729274	ETNK2
1	204073115	204127743	+	97.03220613	SOX13
1	204032447	204041265	-	0	LINC00303
1	203954640	203955780	+	0	CBX1P3
1	203903723	203904013	-	0	HSPE1P6
1	203872574	203874187	-	0	KRT8P29
1	203861603	203870550	+	209.8217791	SNRPE
1	203795714	203854999	+	501.7477326	ZBED6
1	203795654	203854999	+	8273.796789	ZC3H11A
1	203765176	203776233	+	75.65651782	LAX1
1	203729581	203729705	+	0	SNORA77
1	203626561	203744081	+	1584.696613	ATP2B4
1	203494143	203508864	+	0	OPTC
1	203475828	203491352	+	0	PRELP
1	203400266	203400581	-	0	LARP7P1
1	203340628	203351758	-	0	FMOD
1	203318996	203319099	-	0	RNU6-487P
1	203305491	203309602	+	12136.06411	BTG2
1	203298758	203305309	-	182.1366229	LINC01136
1	203287152	203288801	+	164.6515071	LINC01353
1	203255743	203256475	+	0.829335095	NPM1P40
1	203212827	203273641	-	492.2201221	CHIT1
1	203178931	203186749	-	13006.4623	CHI3L1
1	203167811	203175813	-	292.8756896	MYBPH
1	203090654	203167405	+	36.31512855	ADORA1
1	203083132	203086036	-	0	MYOG
1	203026498	203078740	+	75.29262256	PPFIA4
1	203007386	203024848	+	1155.474736	TMEM183A
1	202961869	202967280	-	4192.884218	CYB5R1
1	202940823	202958572	-	27621.02756	ADIPOR1
1	202911812	202912729	+	131.034945	HNRNPA1P59
1	202891100	202928636	-	2354.662261	KLHL12
1	202878957	202889135	-	627.9490979	RABIF
1	202820266	202827225	+	0.829335095	MGAT4EP
1	202810954	202812156	+	4.235973512	PCAT6
1	202796030	202797094	+	0	SLC25A39P1
1	202724495	202809470	-	2519.362043	KDM5B
1	202590596	202710417	-	98.02247088	SYT2
1	202410108	202410207	-	0	RNU6-89P
1	202369526	202370145	-	0	CYCSP4
1	202348699	202592706	+	1797.078633	PPP1R12B
1	202331657	202341980	-	71.11712675	UBE2T
1	202193901	202319781	+	13.11383685	LGR6
1	202168051	202189455	+	7.464015856	PTPRVP
1	202147013	202161588	-	1851.77233	PTPN7
1	202133404	202144743	-	2254.51683	ARL8A
1	202122858	202133592	+	28.74947677	GPR37L1
1	202096759	202096978	+	0	CRIP1P3
1	202007945	202017188	+	1044.059946	ELF3
1	202003124	202003236	+	0	MIR6740
1	201982372	202006147	+	1395.895078	RNPEP
1	201955491	201970661	+	305.9895265	TIMM17A
1	201896452	201946588	-	1.513130356	LMOD1
1	201888680	201892306	+	33.51313862	SHISA4
