chromosome	Start	End	strand	CFASN	GENE ID
1	207018521	207032756	-	4233.420009	C1orf116
1	206957965	206970625	-	2.632316479	FCAMR
1	206928518	206946466	-	9.213107677	PIGR
1	206904386	206923247	-	103.3179959	FCMR
1	206897443	206904139	+	20.61011079	IL24
1	206865354	206869223	+	0.706066713	IL20
1	206798870	206842981	+	0.572503077	IL19
1	206767602	206772494	-	2.29001231	IL10
1	206684944	206734283	+	4243.634744	MAPKAPK2
1	206635536	206684419	+	43.55562573	DYRK3
1	206571292	206612463	-	597.1207098	EIF2D
1	206507530	206589448	+	1634.54444	RASSF5
1	206491116	206497728	-	22.28427363	C1orf147
1	206470476	206496889	+	817.6252532	IKBKE
1	206203345	206464443	+	1495.578637	SRGAP2
1	206186179	206204414	-	15.79389888	FAM72A
1	206009264	206023909	-	109.2880077	CTSE
1	205976740	206003461	-	69.54691401	RAB7B
1	205913048	205943460	-	64.5792773	SLC26A9
1	205828022	205850132	-	1.412133425	PM20D1
1	205789093	205813748	-	623.2009264	SLC41A1
1	205767986	205775460	-	149.3839602	RAB29
1	205712819	205750276	-	2078.21386	NUCKS1
1	205657851	205680459	-	62.97533852	SLC45A3
1	205597556	205631962	-	1009.322926	ELK4
1	205595041	205595147	+	1.519382293	RNU6-418P
1	205504595	205532793	+	210.1812172	CDK18
1	205448302	205448398	-	0.706066713	MIR135B
1	205434886	205437879	-	32.91994968	BLACAT1
1	205381378	205457091	-	12.70920083	LEMD1
1	205351247	205351471	+	49.42466988	SNRPGP10
1	205302059	205321791	-	547.990547	NUAK2
1	205228176	205285632	+	8.103372229	TMCC2
1	205142505	205211566	-	387.4756638	DSTYK
1	205086142	205122015	-	742.9779413	RBBP5
1	205083129	205084460	-	51.52527697	TMEM81
1	205042937	205078284	+	0.65807912	CNTN2
1	204828651	205022822	+	2.025843057	NFASC
1	204617170	204685733	-	64.95813756	LRRN2
1	204516379	204558120	+	537.6506409	MDM4
1	204422628	204494724	-	844.4420392	PIK3C2B
1	204403387	204411791	-	3325.574216	PPP1R15B
1	204368431	204369719	-	1.717509232	LINC00628
1	204218851	204377665	-	960.7409407	PLEKHA6
1	204198160	204214092	-	131.6757078	GOLT1A
1	204190341	204196486	-	11.2970674	KISS1
1	204154819	204190324	-	9.160049239	REN
1	204131062	204152003	-	337.4998886	ETNK2
1	204073115	204127743	+	240.0624023	SOX13
1	203861603	203870550	+	623.4569072	SNRPE
1	203795714	203854999	+	378.451758	ZBED6
1	203795654	203854999	+	3196.948364	ZC3H11A
1	203765176	203776233	+	5.961164058	LAX1
1	203626561	203744081	+	5652.899639	ATP2B4
1	203305491	203309602	+	511.1922999	BTG2
1	203298758	203305309	-	13.81966152	LINC01136
1	203287152	203288801	+	5.152527697	LINC01353
1	203212827	203273641	-	9.160049239	CHIT1
1	203178931	203186749	-	5969.087988	CHI3L1
1	203167811	203175813	-	90.81491853	MYBPH
1	203090654	203167405	+	203.346448	ADORA1
1	203026498	203078740	+	87.61771223	PPFIA4
1	203007386	203024848	+	709.331313	TMEM183A
1	202961869	202967280	-	1581.2535	CYB5R1
1	202940823	202958572	-	5089.328865	ADIPOR1
1	202911812	202912729	+	12.70920083	HNRNPA1P59
1	202891100	202928636	-	1136.767407	KLHL12
1	202878957	202889135	-	392.7371111	RABIF
1	202820266	202827225	+	1.974237359	MGAT4EP
1	202810954	202812156	+	18.89260156	PCAT6
1	202724495	202809470	-	2070.187601	KDM5B
1	202590596	202710417	-	24.04512925	SYT2
1	202348699	202592706	+	2251.288669	PPP1R12B
1	202331657	202341980	-	235.5923249	UBE2T
1	202193901	202319781	+	1.145006155	LGR6
1	202168051	202189455	+	1.717509232	PTPRVP
1	202147013	202161588	-	271.4629697	PTPN7
1	202133404	202144743	-	854.1866975	ARL8A
1	202122858	202133592	+	40.73462107	GPR37L1
1	202007945	202017188	+	6560.885268	ELF3
1	202003124	202003236	+	1.717509232	MIR6740
1	201982372	202006147	+	1121.533529	RNPEP
1	201955491	201970661	+	1084.514389	TIMM17A
1	201896452	201946588	-	2.82426685	LMOD1
1	201888680	201892306	+	65.57280464	SHISA4
1	201863373	201863447	+	1.012921529	MIR6739
1	201829141	201884294	+	1474.973363	IPO9
1	201622885	201826969	+	263.2316479	NAV1
1	201483530	201509456	-	1536.401167	CSRP1
1	201464383	201469237	-	884.7015909	PHLDA3
1	201403768	201429866	-	6.954691401	TNNI1
1	201373244	201399915	-	2059.787645	LAD1
1	201359008	201377762	-	21.05853183	TNNT2
1	201283452	201332993	+	2.632316479	PKP1
1	201190825	201228952	+	4.942466988	IGFN1
1	201134772	201171574	-	944.3435369	TMEM9
1	201113953	201127184	-	1.987054686	ASCL5
1	200969390	201023700	-	731.0864299	KIF21B
1	200917460	200966668	+	3.038764586	MROH3P
1	200863808	200864152	+	0.706066713	RPL34P6
1	200739558	200860704	+	1072.668965	CAMSAP2
1	200623896	200669969	-	559.3355067	DDX59
1	200551497	200620734	-	55.63753121	KIF14
1	200404940	200410056	-	901.647192	ZNF281
1	200253419	200400705	-	16.71320522	LINC00862
1	200027602	200177424	+	2.82426685	NR5A2
1	198858873	198858982	-	0.993527343	MIR181B1
1	198807493	198937429	-	2.862515387	MIR181A1HG
1	198638457	198757476	+	2593.383035	PTPRC
1	198156963	198322420	+	1147.86867	NEK7
1	197902647	197907367	+	24.83818358	C1orf53
1	197504748	197775696	-	472.3150389	DENND1B
1	197268204	197478455	+	1.31615824	CRB1
1	197153680	197200542	-	444.1067223	ZBTB41
1	197084128	197146694	-	87.43040619	ASPM
1	196774795	196795406	+	1.717509232	CFHR3
1	196651878	196747504	+	1429.685847	CFH
1	196225779	196609225	-	1.31615824	KCNT2
1	193304745	193365953	+	0.993527343	LINC01031
1	193179045	193186654	-	0.506460764	B3GALT2
1	193121800	193254815	+	1006.443199	CDC73
1	193090866	193106114	-	123.1973905	GLRX2
1	193059422	193091777	+	654.3710175	TROVE2
1	193012250	193060080	-	567.3041129	UCHL5
1	192993449	192994677	-	1.974237359	ZNF101P2
1	192809039	192812283	+	1362.708755	RGS2
1	192575727	192580031	+	56.63105855	RGS1
1	192158457	192185815	+	345.9726892	RGS18
1	186828953	186988981	+	360.6504255	PLA2G4A
1	186680622	186681446	+	8.555028557	PACERR
1	186671791	186680427	-	648.6459867	PTGS2
1	186443566	186461122	-	0.65807912	PDC
1	186400572	186401455	+	4.051686115	OCLM
1	186311652	186375693	-	4076.221911	TPR
1	185734551	186190949	+	11.18734504	HMCN1
1	185321157	185335039	-	3.530333563	GS1-279B7.1
1	185296388	185317329	-	6904.566125	IVNS1ABP
1	185157080	185291765	+	195.7960525	SWT1
1	185118098	185157072	-	451.7049281	TRMT1L
1	185045364	185102608	+	250.7281446	RNF2
1	184790724	184974550	-	1796.922792	FAM129A
1	184690231	184754913	-	1615.031181	EDEM3
1	184387058	184629020	+	290.1099842	C1orf21
1	184051651	184123978	+	278.5534204	TSEN15
1	183929854	184037729	-	5.648533701	COLGALT2
1	183636085	183928531	+	684.8847112	RGL1
1	183620846	183635757	-	2510.77323	ARPC5
1	183555563	183590876	-	8835.208033	NCF2
1	183472216	183598246	+	4321.843942	SMG7
1	183460874	183472265	-	45.18826961	SMG7-AS1
1	183248237	183418602	-	1157.459355	NMNAT2
1	183186238	183244900	+	28167.76056	LAMC2
1	183023460	183145592	+	3112.056158	LAMC1
1	182959074	182960405	-	1.987054686	KRT18P28
1	182839369	182887751	+	4613.13463	DHX9
1	182789293	182830384	+	1692.591874	NPL
1	182641816	182684576	-	0.572503077	RGS8
1	182598623	182604408	-	35.4522535	RGS16
1	182573634	182589256	-	432.1128281	RNASEL
1	182398117	182400616	-	0.572503077	TEDDM1
1	182381704	182392206	-	22144.37031	GLUL
1	182336001	182336334	+	1.31615824	EIF1P3
1	182129310	182314061	-	1.519382293	LINC01344
1	181317690	181808084	+	12.15505834	CACNA1E
1	181088712	181092899	+	1630.803661	IER5
1	181033425	181061938	+	942.5990613	MR1
1	180972712	181023121	-	1076.04567	STX6
1	180949699	180954887	-	4.942466988	KIAA1614-AS1
1	180913154	180951614	+	43.77613618	KIAA1614
1	180632004	180890251	+	1749.569405	XPR1
1	180269653	180502954	-	603.4182436	ACBD6
1	180230286	180278982	+	46.37274927	LHX4
1	180154834	180204030	+	31583.84928	QSOX1
1	179954738	180114880	+	1753.004423	CEP350
1	179882042	179925000	+	1667.128962	TOR1AIP1
1	179839967	179877803	-	2123.142605	TOR1AIP2
1	179365720	179554735	+	0.706066713	AXDND1
1	179293714	179358680	+	1388.127157	SOAT1
1	179099327	179229684	-	1507.452431	ABL2
1	179081377	179098023	+	742.5364914	TOR3A
1	179025804	179076562	+	1318.932619	FAM20B
1	178849705	178871052	-	0.706066713	ANGPTL1
1	178725147	178921841	+	851.8845792	RALGPS2
1	178542752	178548889	+	20.25843057	C1orf220
1	178094141	178484147	+	2027.789307	RASAL2
1	178091508	178093984	-	36.64019696	RASAL2-AS1
1	177923956	177984303	-	3.290395599	SEC16B
1	177171497	177282422	+	3.948474719	BRINP2
1	176857302	177164973	-	1.012921529	ASTN1
1	176463171	176845605	+	16.23953439	PAPPA2
1	175156987	175192999	-	2731.206666	KIAA0040
1	175010789	175023425	-	340.8849841	MRPS14
1	174999163	175011715	+	801.3857188	CACYBP
1	174159410	174995308	+	589.1056667	RABGAP1L
1	173931214	174022297	-	679.2361775	RC3H1
1	173903804	173917378	-	1.412133425	SERPINC1
1	173868082	173903549	+	351.6212229	ZBTB37
1	173863900	173868882	-	3409.828329	GAS5
1	173863248	173863941	+	5.264632958	GAS5-AS1
1	173824568	173858808	+	490.2689442	DARS2
1	173799550	173824720	-	117.3631309	CENPL
1	173714941	173786702	+	352.0893926	KLHL20
1	173609561	173669862	-	4.606553839	ANKRD45
1	173477266	173488807	+	2658.131789	PRDX6
1	173183734	173207313	-	12.00313411	TNFSF4
1	173039960	173050963	-	23.47262618	TNFSF18
1	172659018	172666874	+	0.706066713	FASLG
1	172532349	172611833	+	2063.321154	SUCO
1	172420688	172468831	+	0.993527343	C1orf105
1	172370189	172444086	-	462.4736968	PIGC
1	171841498	172418466	+	54.38779236	DNM3
1	171781664	171814023	+	723.0713868	METTL13
1	171700160	171742247	-	283.1552928	VAMP4
1	171683128	171684438	-	1.31615824	RPL4P3
1	171670517	171670939	-	2.82426685	PFN1P1
1	171485551	171593511	+	7244.134951	PRRC2C
1	171314208	171342084	+	23.84465623	FMO4
1	170532129	170553446	+	233.0087525	GORAB
1	169921326	170085208	-	437.1520309	KIFAP3
1	169859756	169860052	+	3.974109372	RN7SL333P
1	169849631	169894267	-	311.4416741	SCYL3
1	169792529	169794966	-	156.7468102	METTL18
1	169722641	169764705	-	28.81229295	SELE
1	169690667	169711698	-	682.7665111	SELL
1	169662007	169854080	+	96.18051701	C1orf112
1	169588849	169630193	-	14.88508001	SELP
1	169514166	169586588	-	174.3909667	F5
1	169463909	169486003	-	509.7801665	SLC19A2
1	169394870	169460669	-	3.974109372	CCDC181
1	169367970	169396540	+	1173.355792	BLZF1
1	169132531	169367967	-	150.0226288	NME7
1	169105697	169132722	+	7110.797863	ATP1B1
1	168903905	169087005	-	1.012921529	LINC00970
1	168576473	168582077	+	0.993527343	XCL1
1	168281040	168314426	+	58.3953139	TBX19
1	168225938	168253025	+	1137.563615	SFT2D2
1	168178933	168202114	+	823.2737869	TIPRL
1	168079543	168137667	-	3.974109372	GPR161
1	168055901	168056422	-	1.012921529	GCSHP5
1	167935783	168075843	+	1427.698792	DCAF6
1	167916729	167937040	-	363.5394542	MPC2
1	167809388	167914215	-	4.051686115	ADCY10
1	167721192	167791919	+	2227.597821	MPZL1
1	167630093	167706249	+	557.0866363	RCSD1
1	167529117	167553805	-	3373.313568	CREG1
1	167519536	167520586	+	0.506460764	AKR1D1P1
1	167430640	167518610	-	44.48220289	CD247
1	167220829	167427345	+	580.3868378	POU2F1
1	167052836	167166479	-	101.3330447	GPA33
1	166868748	166869209	+	2.532303822	DUTP6
1	166856510	166876327	-	305.7166434	TADA1
1	166839447	166856344	+	1818.121785	POGK
1	166603916	166631400	+	0.993527343	FMO9P
1	165827531	165911618	+	265.2718006	UCK2
1	165724293	165827755	-	1699.925284	TMCO1
1	165662216	165698863	-	1163.898756	ALDH9A1
1	165630861	165661796	+	648.773355	MGST3
1	164555584	164899296	+	15.70028369	PBX1
1	164356767	164357364	+	1.31615824	HMGB3P6
1	163266576	163355764	+	65.83989936	NUF2
1	163244505	163321894	-	6.354600414	RGS5
1	163068775	163076802	+	0.506460764	RGS4
1	162790702	162812817	+	622.5428473	HSD17B7
1	162631373	162787400	+	73.28039391	DDR2
1	162561506	162599842	+	1281.852194	UAP1
1	162497251	162529629	+	2764.617361	UHMK1
1	162395266	162412138	-	14.47774064	SH2D1B
1	162366908	162386818	+	269.24591	C1orf226
1	162069774	162370475	+	105.3405663	NOS1AP
1	161983192	162023854	-	1.31615824	OLFML2B
1	161766294	161964070	+	2372.543295	ATF6
1	161749758	161757238	+	342.9293434	DUSP12
1	161721563	161728143	+	13.1615824	FCRLB
1	161663147	161678654	+	9.178867264	FCGR2B
1	161623196	161631963	-	2519.952097	FCGR3B
1	161606291	161608217	+	8.609832993	HSPA7
1	161581339	161605662	+	10.59100069	FCGR2C
1	161541759	161550737	-	309.2572201	FCGR3A
1	161524540	161526910	+	365.0364904	HSPA6
1	161505430	161524013	+	473.7707642	FCGR2A
1	161401289	161401395	+	1.412133425	RNU6-481P
1	161314257	161375340	+	1203.161612	SDHC
1	161304735	161309972	-	40.24580262	MPZ
1	161258727	161285450	+	118.2297538	PCP4L1
1	161229666	161238302	-	6.870036929	NR1I3
1	161225939	161230744	+	230.1462371	TOMM40L
1	161222292	161223631	-	7.060667126	APOA2
1	161215234	161220699	+	2955.433327	FCER1G
1	161197104	161214395	+	1455.203495	NDUFS2
1	161184308	161199056	-	0.706066713	ADAMTS4
1	161171310	161177968	-	1000.162876	B4GALT3
1	161166410	161178013	+	93.8905047	PPOX
1	161159450	161165723	+	727.8355065	USP21
1	161152776	161158856	+	962.781913	UFC1
1	161120974	161132688	-	565.2899639	DEDD
1	161118086	161125445	+	628.0113478	NIT1
1	161100556	161118111	-	744.2540007	PFDN2
1	161098361	161100346	+	8.609832993	KLHDC9
1	161046946	161069970	-	1965.067766	ARHGAP30
1	161039251	161045977	-	1189.088892	USF1
1	161037631	161038990	-	258.8014506	TSTD1
1	160995211	161021348	-	4343.407515	F11R
1	160945025	160954799	-	0.706066713	ITLN2
1	160876539	160885170	-	0.572503077	ITLN1
1	160830160	160862855	-	77.28791546	CD244
1	160796074	160828261	+	21.2713521	LY9
1	160739057	160754821	+	968.017463	SLAMF7
1	160678746	160711851	-	245.4635117	CD48
1	160670148	160670979	+	1.31615824	SETP9
1	160608100	160647295	-	14.88508001	SLAMF1
1	160541095	160579516	-	13.16757078	CD84
1	160485030	160523262	-	16.23953439	SLAMF6
1	160400586	160428678	+	0.65807912	VANGL2
1	160367067	160372848	+	7.0904507	NHLH1
1	160343272	160358952	+	3726.031843	NCSTN
1	160317403	160317706	+	3.974109372	SUMO1P3
1	160288686	160343400	-	6202.395704	COPA
1	160276812	160286348	-	681.7699681	PEX19
1	160215715	160262531	-	605.7082559	DCAF8
1	160205337	160215376	+	2809.43945	PEA15
1	160190556	160201886	+	0.993527343	CASQ1
1	160151570	160186977	+	1.31615824	ATP1A4
1	160115759	160143591	+	15.45758309	ATP1A2
1	160091340	160098943	-	714.3461597	IGSF8
1	160081570	160090563	+	1.012921529	KCNJ9
1	160024953	160031991	-	207.9530019	PIGM
1	159998651	160070483	-	3.54522535	KCNJ10
1	159961218	159984750	+	5.922712078	LINC01133
1	159951492	159954254	-	0.572503077	SLAMF9
1	159927039	159945604	-	218.8806809	IGSF9
1	159918107	159925732	-	12821.46543	TAGLN2
1	159872364	159900163	-	38.82666807	CFAP45
1	159854316	159862657	-	0.706066713	VSIG8
1	159826750	159837249	+	22.79073439	SLAMF8
1	159800511	159816251	+	6.354600414	FCRL6
1	159780932	159782543	+	474.5537362	DUSP23
1	159712289	159714589	-	2.980582029	CRP
1	159598298	159599227	+	0.65807912	OR10J6P
1	159313670	159314659	-	0.706066713	OR10J3
1	159289714	159308224	+	4.236400276	FCER1A
1	159062484	159147096	-	808.7792382	AIM2
