chromosome,Start,End,strand,Blood,CFASN,LTB4,GENE ID
1,218346235,218444619,+,0,35.76698435,7.565651782,TGFB2
1,218344196,218345678,-,0,1.145006155,0,TGFB2-AS1
1,218285287,218337983,+,44.67306769,410.22476,99.86660352,RRP15
1,218129795,218129952,+,0,0,0,RNU1-141P
1,217892900,217920804,+,0,0,0,LINC00210
1,217850403,217850633,-,0,0,0,UBBP2
1,217781198,217785120,-,0,0,0,SPATA17-AS1
1,217631324,217871696,+,0,26.33595974,6.777557619,SPATA17
1,217426992,217631082,-,39.83362351,255.3365272,74.14338746,GPATCH2
1,216503246,217137755,-,0,10.92880077,0.829335095,ESRRG
1,216201635,216201826,-,0,0,0,MRPS18BP1
1,215622894,216423396,-,0,0.506460764,0,USH2A
1,215567392,215621807,+,21.34445709,866.3558431,115.1103457,KCTD3
1,215376484,215377374,+,0,0,0,VDAC1P10
1,215005775,215237093,+,0,0,0,KCNK2
1,214870734,214871716,+,0,0,0,GAPDHP24
1,214605470,214608840,-,0,0,0,ABHD17AP3
1,214603195,214664588,+,30.44470591,342.3568403,150.0805773,CENPF
1,214532195,214533467,+,0,0,0,KRT18P12
1,214348696,214552449,-,2.281258001,875.1642007,158.8786874,PTPN14
1,214281102,214337131,+,175.9890107,522.4893673,167.9574696,SMYD2
1,213983181,214041502,+,0,0,0.847194702,PROX1
1,213924749,213926654,-,0,0,0,LINC00538
1,213817751,213988508,-,0,0,0,PROX1-AS1
1,213428708,213429077,-,0,0,0,RPL31P13
1,213051233,213274773,+,314.7467385,566.9715702,284.65742,RPS6KC1
1,212992182,213015826,-,529.4872365,359.9692785,429.8424301,ANGEL2
1,212950520,212992037,+,2.281258001,0.706066713,1.65867019,VASH2
1,212858255,212899363,+,371.1748258,516.0835188,165.202967,FLVCR1
1,212830141,212847649,-,3.698859443,0,0,SPATA45
1,212791828,212816626,+,724.5732592,217.5511694,181.5756428,TATDN3
1,212726153,212791782,-,598.4969871,196.0003158,170.8430296,NSL1
1,212686418,212699985,-,21.22251996,51.66342184,21.3092328,BATF3
1,212624474,212626778,+,0,0,0,FAM71A
1,212565334,212620777,+,25.39704822,583.3806359,274.4910836,ATF3
1,212432887,212446379,+,38.55448616,664.0018319,126.7670895,NENF
1,212363931,212414901,-,68.025269,180.9717579,65.06460533,TMEM206
1,212357418,212358353,+,0.42855288,0,0,AL360091.1
1,212352816,212352950,+,11.44447793,0.65807912,0.847194702,SNORA16B
1,212309051,212309518,-,1.582928408,0.706066713,0.71030776,RPL23AP18
1,212285537,212361863,+,3749.15402,1041.448401,939.0268587,PPP2R5A
1,212099521,212099676,-,0,0,0,RN7SKP98
1,212077613,212077685,+,0,0,0,MIR3122
1,212051524,212052006,-,4.492080595,7.442540007,3.388778809,RPL21P28
1,212035553,212107400,+,1.285658641,46.37274927,19.07470719,DTL
1,211940399,212035542,-,68.86599777,438.4674285,118.0245316,INTS7
1,211792111,211792406,-,1.710936122,0,0,RN7SL344P
1,211743457,211830772,-,7659.578157,1461.027854,2001.871462,LPGAT1
1,211660189,211661277,-,0,0,0,FDPSP8
1,211658657,211675630,-,4.063527715,111.5585406,118.0241678,NEK2
1,211635906,211642867,-,0,0,0,AL356310.1
1,211571568,211578742,-,210.6036838,233.7080819,308.5126554,SLC30A1
